title,creator,date,description,subject,source,Identifier,type,format,rights,filename,objectid,PARENT,publisher,Coverage,contributor,Relation
Catherine Frizzell McNary,Myra Sperry,,"Mrs. Hugh Miller McNary, mother of Sarah, Anna, Lillie, Angello, Laurence, Hugh and Wilson McNary. She was born about 1839.","Print, Photographic;Portrait photographs;Clothing & dress;Women's portraits, Salem, Or.;Women's clothing & fashions, late 19th century;Women's hairstyles, late 19th century;Women's hats, late 19th century;Women's accessories, late 19th century;McNary family, Oregon;McNary, Catherine;Frizzell, Catherine;Myra Sperry",ASSET: 40162,2007.001.0516,StillImage,image/jpeg,Courtesy of State Library of Oregon,20070010516_2.jpg,slo20070010516_2,40160,State Library of Oregon,"1889 - 1899; Salem, Or..",Sperry The Artist,
Absolam McGregor,Rossie,,Portrait of Uncle Absolam McGregor.,"Print, Photographic;Absolam McGregor;Men's portraits, Regina, Sk.;McGregor, Absolam;Rossie",ASSET: 42651,2008.001.0523,StillImage,image/jpeg,Courtesy of State Library of Oregon,20080010523_1.jpg,slo20080010523_1,42649,State Library of Oregon,"Regina, Sk.",Rossie,
"Providence Church Centennial in Linn County, Or.",George Strozut Jr.,1953-01-01T00:00:00Z,"Packet of 12 photos of Providence Church in Linn County at their Centennial, 6/21/53.  Over 400 attended.  Church located 2 miles East and 6 miles South of Scio. Photos show the Church exterior and interior, Elder Joab Powell's memorial, his tombstone, and his Grand-daughter Sue Abbott.  Church is also known as Providence Baptist Church, and is located 6 miles SE of Scio. Packet of 12 photos of Providence Church in Linn County at their Centennial, 6/21/53.  Over 400 attended.  Church located 2 miles East and 6 miles South of Scio. Photos show the Church exterior and interior, Elder Joab Powell's memorial, his tombstone, and his Grand-daughter Sue Abbott.  Church is also known as Providence Baptist Church, and is located 6 miles SE of Scio. In one photo, three men are standing at the front of the Church, but only two, guest speaker Dr. William Milliken, and the Pastor, Rudy Friberg are named. Unfortunately, there is no indication of which man is which or the name of the third.","Print, Photographic;Providence Church, Linn County, Or.;Churches, Linn County, Or.;Centennial celebrations, Linn County, Or.;Providence Baptist Church, Linn County, Or.;Historic Churches, Linn County, Or.;Historic buildings, Linn County, Or.;Cemeteries, Linn County, Or.;Powell, Joab;Milliken, William;Friberg, Rudy;Abbott, Sue;George Strozut Jr.",ASSET: 21213,2004.001.0218,StillImage,image/jpeg,Courtesy of State Library of Oregon,20040010218_6.jpg,slo20040010218_6,21208,State Library of Oregon,,,
Barlow Toll Gate near Rhododendron,Verne Bright,,"Two photographs of the Barlow Road Toll Gate, near Rhododendron, Or. The first photo, #661, was taken in the late 1930s. Two photographs of the Barlow Road Toll Gate, near Rhododendron, Or. The first photo, #661, was taken in the late 1930s. The second photo, #661A, is a photo taken in 1885 at the Barlow-Foster Toll Gate, probably an older name for the same toll gate. In this photo, there is a wagon being pulled by a team of two oxen, a wagon drawn by a team of two horses, and a single rider on horseback. There are two buildings in the photograph. The men are identified as Ernest Sievers with the ox team and Sam and Sarah Bacon and Adam Kotyman with the horse team. The man on the horse is a sheepherder, unidentified.","Print, Photographic;Overland trails;Oregon Trail;Pioneers;Toll gates, Clackamas County, Or.;Barlow Road, Clackamas County, Or.;Oregon Trail cutoff;Ox-drawn wagons;Horse-drawn wagons;Emigrant trails, Oregon;Sievers, Ernest;Bacon, Sam;Bacon, Sarah;Kotyman, Adam;Verne Bright",ASSET: 23132,2006.001.0320,StillImage,image/jpeg,Courtesy of State Library of Oregon,20060010320_2.jpg,slo20060010320_2,23130,State Library of Oregon,,,
"Scenes from the Wigrich Hop Ranch, near Independence, Or., 1930",,,"Wigrich Ranch was located in Buena Vista, near Independence, Polk County, Oregon. Between 1900 and 1940, this area was known as the ""Hop Center of the World.""  Wigrich Hop Ranch was the largest hop yard under one trellis in the world during the 1920's. #1 - Hop drier crew, in front of sacks of dried hops, 1930. The drier crews appear to have been the elite among hop workers! Wigrich Ranch was located in Buena Vista, near Independence, Polk County, Oregon. Between 1900 and 1940, this area was known as the ""Hop Center of the World.""  Wigrich Hop Ranch was the largest hop yard under one trellis in the world during the 1920's. #1 - Hop drier crew, in front of sacks of dried hops, 1930. The drier crews appear to have been the elite among hop workers! #2 - Section 12 crew, 1930 Wigrich Ranch was located in Buena Vista, near Independence, Polk County, Oregon. Between 1900 and 1940, this area was known as the ""Hop Center of the World.""  Wigrich Hop Ranch was the largest hop yard under one trellis in the world during the 1920's. #1 - Hop drier crew, in front of sacks of dried hops, 1930. The drier crews appear to have been the elite among hop workers! #2 - Section 12 crew, 1930 #3 - Section 5 crew, 1930 Wigrich Ranch was located in Buena Vista, near Independence, Polk County, Oregon. Between 1900 and 1940, this area was known as the ""Hop Center of the World.""  Wigrich Hop Ranch was the largest hop yard under one trellis in the world during the 1920's. #1 - Hop drier crew, in front of sacks of dried hops, 1930. The drier crews appear to have been the elite among hop workers! #2 - Section 12 crew, 1930 #3 - Section 5 crew, 1930 #4-5 - Wigrich Take Off Crew, 1930 Wigrich Ranch was located in Buena Vista, near Independence, Polk County, Oregon. Between 1900 and 1940, this area was known as the ""Hop Center of the World.""  Wigrich Hop Ranch was the largest hop yard under one trellis in the world during the 1920's. #1 - Hop drier crew, in front of sacks of dried hops, 1930. The drier crews appear to have been the elite among hop workers! #2 - Section 12 crew, 1930 #3 - Section 5 crew, 1930 #4-5 - Wigrich Take Off Crew, 1930 Wigrich Ranch was located in Buena Vista, near Independence, Polk County, Oregon. Between 1900 and 1940, this area was known as the ""Hop Center of the World.""  Wigrich Hop Ranch was the largest hop yard under one trellis in the world during the 1920's. #1 - Hop drier crew, in front of sacks of dried hops, 1930. The drier crews appear to have been the elite among hop workers! #2 - Section 12 crew, 1930 #3 - Section 5 crew, 1930 #4-5 - Wigrich Take Off Crew, 1930 Wigrich Ranch was located in Buena Vista, near Independence, Polk County, Oregon. Between 1900 and 1940, this area was known as the ""Hop Center of the World.""  Wigrich Hop Ranch was the largest hop yard under one trellis in the world during the 1920's. #1 - Hop drier crew, in front of sacks of dried hops, 1930. The drier crews appear to have been the elite among hop workers! #2 - Section 12 crew, 1930 #3 - Section 5 crew, 1930 #4-5 - Wigrich Take Off Crew, 1930 There are several more photos of Wigrich section crews in the State Library's collection. Due to the number of similar photographs, we are unable to display every one.","Print, Photographic;Wigrich Hop Ranch, Independence, Or.;Hop fields, Willamette Valley;Hop workers, Willamette Valley;Hops industry, Oregon;Agricultural workers, Willamette Valley;Farm laborers, Willamette Valley",ASSET: 23337,2006.001.0344,StillImage,image/jpeg,Courtesy of State Library of Oregon,20060010344_2.jpg,slo20060010344_2,23332,State Library of Oregon,"Salem, Or.",Trover Studio,
"Construction and occupancy of Oregon State Library, 1937-1939",Various,,"Series of photographs of the ground breaking, cornerstone laying,construction and occupancy of the Oregon State Library in 1938 and early 1939.  The Library was the first building, after the Capitol Building, to be constructed on what is now the Capitol Mall. After 25 years of cramped conditions in the Supreme Court Building, the 1937 Legislature appropriated $550,000, and with $450,000 in funds from the WPA, construction began. Harriet Long, the State Librarian (1930-1941), was tireless in campaigning for the new library. Series of photographs of the ground breaking, cornerstone laying,construction and occupancy of the Oregon State Library in 1938 and early 1939.  The Library was the first building, after the Capitol Building, to be constructed on what is now the Capitol Mall. After 25 years of cramped conditions in the Supreme Court Building, the 1937 Legislature appropriated $550,000, and with $450,000 in funds from the WPA, construction began. Harriet Long, the State Librarian (1930-1941), was tireless in campaigning for the new library. The groundbreaking ceremony was Feb. 24, 1938 and the first photograph shows State Librarian Harriet Long with shovel, while Gov. Charles Martin looks on. The second photo is of the June 21, 1938 cornerstone laying ceremony with staff identified in the following image. Series of photographs of the ground breaking, cornerstone laying,construction and occupancy of the Oregon State Library in 1938 and early 1939.  The Library was the first building, after the Capitol Building, to be constructed on what is now the Capitol Mall. After 25 years of cramped conditions in the Supreme Court Building, the 1937 Legislature appropriated $550,000, and with $450,000 in funds from the WPA, construction began. Harriet Long, the State Librarian (1930-1941), was tireless in campaigning for the new library. The groundbreaking ceremony was Feb. 24, 1938 and the first photograph shows State Librarian Harriet Long with shovel, while Gov. Charles Martin looks on. The second photo is of the June 21, 1938 cornerstone laying ceremony with staff identified in the following image. Series of photographs of the ground breaking, cornerstone laying,construction and occupancy of the Oregon State Library in 1938 and early 1939.  The Library was the first building, after the Capitol Building, to be constructed on what is now the Capitol Mall. After 25 years of cramped conditions in the Supreme Court Building, the 1937 Legislature appropriated $550,000, and with $450,000 in funds from the WPA, construction began. Harriet Long, the State Librarian (1930-1941), was tireless in campaigning for the new library. The groundbreaking ceremony was Feb. 24, 1938 and the first photograph shows State Librarian Harriet Long with shovel, while Gov. Charles Martin looks on. The second photo is of the June 21, 1938 cornerstone laying ceremony with staff identified in the following image. The beautiful Cooke-Patton House occupied the corner of Summer and Court Streets and was demolished in 1938 when no buyer could be found who would move the structure. In the series of photographs of the demolition, the relation of the house to the rising structure of the Library is apparent. Series of photographs of the ground breaking, cornerstone laying,construction and occupancy of the Oregon State Library in 1938 and early 1939.  The Library was the first building, after the Capitol Building, to be constructed on what is now the Capitol Mall. After 25 years of cramped conditions in the Supreme Court Building, the 1937 Legislature appropriated $550,000, and with $450,000 in funds from the WPA, construction began. Harriet Long, the State Librarian (1930-1941), was tireless in campaigning for the new library. The groundbreaking ceremony was Feb. 24, 1938 and the first photograph shows State Librarian Harriet Long with shovel, while Gov. Charles Martin looks on. The second photo is of the June 21, 1938 cornerstone laying ceremony with staff identified in the following image. The beautiful Cooke-Patton House occupied the corner of Summer and Court Streets and was demolished in 1938 when no buyer could be found who would move the structure. In the series of photographs of the demolition, the relation of the house to the rising structure of the Library is apparent. Series of photographs of the ground breaking, cornerstone laying,construction and occupancy of the Oregon State Library in 1938 and early 1939.  The Library was the first building, after the Capitol Building, to be constructed on what is now the Capitol Mall. After 25 years of cramped conditions in the Supreme Court Building, the 1937 Legislature appropriated $550,000, and with $450,000 in funds from the WPA, construction began. Harriet Long, the State Librarian (1930-1941), was tireless in campaigning for the new library. The groundbreaking ceremony was Feb. 24, 1938 and the first photograph shows State Librarian Harriet Long with shovel, while Gov. Charles Martin looks on. The second photo is of the June 21, 1938 cornerstone laying ceremony with staff identified in the following image. The beautiful Cooke-Patton House occupied the corner of Summer and Court Streets and was demolished in 1938 when no buyer could be found who would move the structure. In the series of photographs of the demolition, the relation of the house to the rising structure of the Library is apparent. The final photos show the new library from three sides, and the interior 2nd floor public spaces with some of the detailing and furniture that was a feature of this Art Deco building. Also included is a drawing done by F. G. Hutchinson in 1939, and a color image of the State Library during the Library's Centennial in 2005. Series of photographs of the ground breaking, cornerstone laying,construction and occupancy of the Oregon State Library in 1938 and early 1939.  The Library was the first building, after the Capitol Building, to be constructed on what is now the Capitol Mall. After 25 years of cramped conditions in the Supreme Court Building, the 1937 Legislature appropriated $550,000, and with $450,000 in funds from the WPA, construction began. Harriet Long, the State Librarian (1930-1941), was tireless in campaigning for the new library. The groundbreaking ceremony was Feb. 24, 1938 and the first photograph shows State Librarian Harriet Long with shovel, while Gov. Charles Martin looks on. The second photo is of the June 21, 1938 cornerstone laying ceremony with staff identified in the following image. The beautiful Cooke-Patton House occupied the corner of Summer and Court Streets and was demolished in 1938 when no buyer could be found who would move the structure. In the series of photographs of the demolition, the relation of the house to the rising structure of the Library is apparent. The final photos show the new library from three sides, and the interior 2nd floor public spaces with some of the detailing and furniture that was a feature of this Art Deco building. Also included is a drawing done by F. G. Hutchinson in 1939, and a color image of the State Library during the Library's Centennial in 2005. Series of photographs of the ground breaking, cornerstone laying,construction and occupancy of the Oregon State Library in 1938 and early 1939.  The Library was the first building, after the Capitol Building, to be constructed on what is now the Capitol Mall. After 25 years of cramped conditions in the Supreme Court Building, the 1937 Legislature appropriated $550,000, and with $450,000 in funds from the WPA, construction began. Harriet Long, the State Librarian (1930-1941), was tireless in campaigning for the new library. The groundbreaking ceremony was Feb. 24, 1938 and the first photograph shows State Librarian Harriet Long with shovel, while Gov. Charles Martin looks on. The second photo is of the June 21, 1938 cornerstone laying ceremony with staff identified in the following image. The beautiful Cooke-Patton House occupied the corner of Summer and Court Streets and was demolished in 1938 when no buyer could be found who would move the structure. In the series of photographs of the demolition, the relation of the house to the rising structure of the Library is apparent. The final photos show the new library from three sides, and the interior 2nd floor public spaces with some of the detailing and furniture that was a feature of this Art Deco building. Also included is a drawing done by F. G. Hutchinson in 1939, and a color image of the State Library during the Library's Centennial in 2005. The final picture is the library with its banners celebrating the Centennial of the State Library in 2005. Series of photographs of the ground breaking, cornerstone laying,construction and occupancy of the Oregon State Library in 1938 and early 1939.  The Library was the first building, after the Capitol Building, to be constructed on what is now the Capitol Mall. After 25 years of cramped conditions in the Supreme Court Building, the 1937 Legislature appropriated $550,000, and with $450,000 in funds from the WPA, construction began. Harriet Long, the State Librarian (1930-1941), was tireless in campaigning for the new library. The groundbreaking ceremony was Feb. 24, 1938 and the first photograph shows State Librarian Harriet Long with shovel, while Gov. Charles Martin looks on. The second photo is of the June 21, 1938 cornerstone laying ceremony with staff identified in the following image. The beautiful Cooke-Patton House occupied the corner of Summer and Court Streets and was demolished in 1938 when no buyer could be found who would move the structure. In the series of photographs of the demolition, the relation of the house to the rising structure of the Library is apparent. The final photos show the new library from three sides, and the interior 2nd floor public spaces with some of the detailing and furniture that was a feature of this Art Deco building. Also included is a drawing done by F. G. Hutchinson in 1939, and a color image of the State Library during the Library's Centennial in 2005. The final picture is the library with its banners celebrating the Centennial of the State Library in 2005. Series of photographs of the ground breaking, cornerstone laying,construction and occupancy of the Oregon State Library in 1938 and early 1939.  The Library was the first building, after the Capitol Building, to be constructed on what is now the Capitol Mall. After 25 years of cramped conditions in the Supreme Court Building, the 1937 Legislature appropriated $550,000, and with $450,000 in funds from the WPA, construction began. Harriet Long, the State Librarian (1930-1941), was tireless in campaigning for the new library. The groundbreaking ceremony was Feb. 24, 1938 and the first photograph shows State Librarian Harriet Long with shovel, while Gov. Charles Martin looks on. The second photo is of the June 21, 1938 cornerstone laying ceremony with staff identified in the following image. The beautiful Cooke-Patton House occupied the corner of Summer and Court Streets and was demolished in 1938 when no buyer could be found who would move the structure. In the series of photographs of the demolition, the relation of the house to the rising structure of the Library is apparent. The final photos show the new library from three sides, and the interior 2nd floor public spaces with some of the detailing and furniture that was a feature of this Art Deco building. Also included is a drawing done by F. G. Hutchinson in 1939, and a color image of the State Library during the Library's Centennial in 2005. The final picture is the library with its banners celebrating the Centennial of the State Library in 2005.","Print, Photographic;Library construction, Salem, Or.;Government libraries, Salem, Or.;State agency buildings, Salem, Or.;Historic buildings, Salem, Or.;Libraries, Salem, Or.;Oregon State Library reference room, 1939;Historic houses, Salem, Or.;Cook-Patton House, Salem, Or.;Various",ASSET: 31743,2007.001.0018,StillImage,image/jpeg,Courtesy of State Library of Oregon,20070010018.jpg,slo20070010018E10,31741,State Library of Oregon,1937 - 1939,,
Oswald West,F. J. Catterlin,,Portraita of Oswald West as a boy,"Print, Photographic;Children's portraits, Salem, Or.;West, Oswald, 1973-1960;F. J. Catterlin",ASSET: 42523,2008.001.0429,StillImage,image/jpeg,Courtesy of State Library of Oregon,20080010429.jpg,slo20080010429E10,42522,State Library of Oregon,"Salem, Or.",F. J. Catterlin,
Photographs of decorative details and furniture of newly-built Timberline Lodge,Unknown,,"#2665 - Timberline Lodge Cascade dining room all set up for guests. View is towards the fireplace with its bas-relief of a forest scene. This photograph shows the architectural detail of the room as well as the decorative details such as the light fixtures, draperies and dining chairs. #2566 - Bas-relief in wood of ""Cougar resting in forest"" by Florence Thomas. This was originally carved for the dining room, but is in the main lounge over the doors to the main exit. #2665 - Timberline Lodge Cascade dining room all set up for guests. View is towards the fireplace with its bas-relief of a forest scene. This photograph shows the architectural detail of the room as well as the decorative details such as the light fixtures, draperies and dining chairs. #2566 - Bas-relief in wood of ""Cougar resting in forest"" by Florence Thomas. This was originally carved for the dining room, but is in the main lounge over the doors to the main exit. #2567 - Close up of pine wood stool for coffee shop counter. #2665 - Timberline Lodge Cascade dining room all set up for guests. View is towards the fireplace with its bas-relief of a forest scene. This photograph shows the architectural detail of the room as well as the decorative details such as the light fixtures, draperies and dining chairs. #2566 - Bas-relief in wood of ""Cougar resting in forest"" by Florence Thomas. This was originally carved for the dining room, but is in the main lounge over the doors to the main exit. #2567 - Close up of pine wood stool for coffee shop counter. #2568 - Close-up of the fireplace and forest scene bas-relief, in the Cascade dining room. The name of the artist is not mentioned on the photograph. #2665 - Timberline Lodge Cascade dining room all set up for guests. View is towards the fireplace with its bas-relief of a forest scene. This photograph shows the architectural detail of the room as well as the decorative details such as the light fixtures, draperies and dining chairs. #2566 - Bas-relief in wood of ""Cougar resting in forest"" by Florence Thomas. This was originally carved for the dining room, but is in the main lounge over the doors to the main exit. #2567 - Close up of pine wood stool for coffee shop counter. #2568 - Close-up of the fireplace and forest scene bas-relief, in the Cascade dining room. The name of the artist is not mentioned on the photograph. #2569 - Close up of a bedroom chest of drawers #2665 - Timberline Lodge Cascade dining room all set up for guests. View is towards the fireplace with its bas-relief of a forest scene. This photograph shows the architectural detail of the room as well as the decorative details such as the light fixtures, draperies and dining chairs. #2566 - Bas-relief in wood of ""Cougar resting in forest"" by Florence Thomas. This was originally carved for the dining room, but is in the main lounge over the doors to the main exit. #2567 - Close up of pine wood stool for coffee shop counter. #2568 - Close-up of the fireplace and forest scene bas-relief, in the Cascade dining room. The name of the artist is not mentioned on the photograph. #2569 - Close up of a bedroom chest of drawers #2570 - Chart of ""Indian"" symbols from the ski lodge, used on various printed matter and some carvings at Timberline Lodge.These symbols were borrowed from the Campfire Girls Guidebook that belonged to the daughter of Howard Gifford, one of the Forest Service architects who carved the design for the entrance lintel, and are thought to be decorative rather than authentic.","Print, Photographic;Timberline Lodge, Clackamas County, Or.;Interior decoration, Timberline Lodge;Furniture, Timberline Lodge;Wood carvings, Timberline Lodge;Mountain lodges, Clackamas County, Or.;Ski lodges, Clackamas County, Or.;Historic buildings, Clackamas County, Or.;National Register of Historic Places, Clackamas County, Or.;Unknown",ASSET: 23458,2006.001.0416,StillImage,image/jpeg,Courtesy of State Library of Oregon,20060010416.jpg,slo20060010416E10,23457,State Library of Oregon,1937 - 1939,,
"Governor George C. Chamberlain and Staff, 1903",Unknown,ca. 1903,"Oregon State Governor George C. Chamberlain and staff, including Joe Baumgartner, who owned the property on the NW corner of  the block on which the State Library now stands. Oregon State Governor George C. Chamberlain and staff, including Joe Baumgartner, who owned the property on the NW corner of  the block on which the State Library now stands. Photograph severely damaged.","Print, Photographic;Oregon governors;Oregon Governors' staffs;Group portraits;Chamberlain, George C.;Unknown",ASSET: 24141,2006.001.0950,StillImage,image/jpeg,Courtesy of State Library of Oregon,20060010950.jpg,slo2006001095E10,20562,State Library of Oregon,,,
"Bridge over Clackamas River, Oregon City, Oregon",Huntley Bros. Co.,ca. 1890s,View of steel truss bridge.,"Print, Photographic;Bridges, Oregon City;Clackamas River",ASSET: 21748,2004.001.0452,StillImage,image/jpeg,Courtesy of State Library of Oregon,20040010452_13.jpg,slo20040010452_13,21724,State Library of Oregon,"Oregon City, Oregon",,
Volney and Sofa [Sofia?] Gates,Siegmund Brothers,,"Volney and Sofa Gates, children of Lem Gates and Eva Church-Gates.  Eva was Jim Church's sister, later married Johnnie Quinn. Circa 1890.","Print, Photographic;Volney Gates;Sofa Gates;Lem Gates;Eva Gates;Children's clothing & fashions, 19th century;Gates family, Marion County, Or.;Children's portraits, Marion County, Or.;Gates, Volney;Gates, Sofa [Sofia?];Siegmund Brothers",ASSET: 21151,2004.001.0155,StillImage,image/jpeg,Courtesy of State Library of Oregon,20040010155.jpg,slo20040010155E10,20562,State Library of Oregon,"1889 - 1891; Mehama, Or.",,
"Storm damage on Pacific Ave., Taft, logs and driftwood, 1939",Lillie J. Striker,1939-01-01T00:00:00Z,"Pacific Ave., Taft, logs and driftwood, January 1939. ""Pacific avenue at Taft was piled high with logs and driftwood by the turbulent tides which swept the Oregon coast this week."" Pacific Ave., Taft, logs and driftwood, January 1939. ""Pacific avenue at Taft was piled high with logs and driftwood by the turbulent tides which swept the Oregon coast this week."" Taft is now part of Lincoln City.","Print, Photographic;Storm damage, 1939, Taft, Or.;Logs and driftwood;Storms, Oregon Coast, January, 1939;Storm damage, Lincoln County, Or.;Lillie J. Striker",ASSET: 40093,2007.001.0492,StillImage,image/jpeg,Courtesy of State Library of Oregon,20070010492.jpg,slo20070010492E10,20562,State Library of Oregon,,The Journal,
Unidentified Women,Trover,,Portraits of unidentified women.,"Print, Photographic;Unidentified portraits;Trover",ASSET: 41340,2007.001.1225,StillImage,image/jpeg,Courtesy of State Library of Oregon,20070011225_15.jpg,slo20070011225_15,41302,State Library of Oregon,"Salem, Or.",Trover,
Steps of Portland Public Auditorium,Oregonian photographers?,1930s,Steps of Portland (Or.) Public Auditorium,"Print, Photographic;Auditoriums;Public Auditoriums, Portland, Or.;Portland (Or.)Public Auditorium;Oregonian photographers?",ASSET: 24398,2006.001.1150,StillImage,image/jpeg,Courtesy of State Library of Oregon,20060011150.jpg,slo2006001115E10,20562,State Library of Oregon,,,
Absolam McGregor,W. Marshall,,Portrait of Absolam McGregor.,"Print, Photographic;Absolam McGregor;Men's portraits, Guelph, On.;McGregor, Absolam;W. Marshall",ASSET: 42646,2008.001.0520,StillImage,image/jpeg,Courtesy of State Library of Oregon,20080010520.jpg,slo2008001052E10,20563,State Library of Oregon,"Guelph, On.",W. Marshall,
Interior View,,,"Interior of house, small room with chair on right, pair of boots on left, dog in middle, right wall lined with cupboards, window on back wall, newspaper under chair.","Print, Photographic;Dogs;Chairs;Newspapers;Boots;Cupboards;Windows;Interiors;Furniture;Domestic Life;Newspapers",ASSET: 43864,2007.001.0112,StillImage,image/jpeg,Courtesy of State Library of Oregon,20070010112.jpg,slo20070010112E10,20562,State Library of Oregon,,Trover Studio,
Three photos of International Harvester tractors working,Unknown,,"Tractors with and without ""bulldozer"" blades are working to clear logged area of rocks and stumps. In two photos, the tractor is clearing the land for a roadbed, and in the third, the tractor is pulling stumps out of the ground.","Print, Photographic;Tractors;Clearing of land;Road construction;Logging;Bulldozers;Tracked vehicles;Clearcuts;Land clearing;Unknown",ASSET: 22184,2005.001.0040,StillImage,image/jpeg,Courtesy of State Library of Oregon,20050010040_2.jpg,slo20050010040_2,22181,State Library of Oregon,,,
Views of the Oregon Caves,Unknown,,"Views of the Oregon Caves. Images include: Chateau, looking into the River Styx, and Joaquin Miller's Chops. Also included are: Joachin Miller's Chapel, outside opening to the caves, a house near the Oregon Caves, and a camp fire talk by Forest Ranger.","Print, Photographic;Caves;Tourism;Buildings;Historic sites;National parks & reserves;Oregon Caves National Monument;Joachin Miller's Chops;Caves;Tourism;Buildings;Historic sites;Historic lodges;Forest reserves;Unknown",ASSET: 21719,2004.001.0451,StillImage,image/jpeg,Courtesy of State Library of Oregon,20040010451_8.jpg,slo20040010451_8,21716,State Library of Oregon,,,
Mrs. Forsythe,J. J. Hall,1920?,"Portrait of Mrs. Forsythe. Probably Amy E. Forsythe, wife of Elmer Forsythe of Woodburn. The 1910 Census lists Elmer and Amy in Enterprise, Wallowa County, but by 1920 they are in Woodburn.","Print, Photographic;Women's portraits, Woodburn, Or.;Forsythe, Mrs. Elmer J., 1867-;Forsythe, Amy E., 1867-.;J. J. Hall",ASSET: 43286,2008.001.0936,StillImage,image/jpeg,Courtesy of State Library of Oregon,20080010936.jpg,slo20080010936E10,20563,State Library of Oregon,"Woodburn, Or.",J. J. Hall Studio,
Unidentified Man,J. Esson,,Portrait of unidentified man.,"Print, Photographic;Unidentified man;Men's portraits, Preston, On.;J. Esson",ASSET: 42442,2008.001.0365,StillImage,image/jpeg,Courtesy of State Library of Oregon,20080010365.jpg,slo20080010365E10,20563,State Library of Oregon,"Preston, On.",Atelier,
"McLoughlin House, Oregon, City",,,"Ink drawing of the McLoughlin House in Oregon City, Oregon.","Print, Photographic;Houses;Homes & Haunts;Historic Buildings;Dwellings;Buildings;John McLoughlin;McLoughlin House;Historic houses, Oregon City;Historic buildings;Dr. John McLaughlin;McLoughlin, Dr. John",ASSET: 21555,2004.001.0413,StillImage,image/jpeg,Courtesy of State Library of Oregon,20040010413.jpg,slo20040010413E10,20562,State Library of Oregon,,,
Crowd by railroad line,Crawford and Paxton,1890-01-01T00:00:00Z,"Crowd by railroad line beside cliff on the Oregon Coast. Canvas tents band wooden huts in background, probably used for changing into swimming costumes.","Print, Photographic;Railroads, Oregon Coast, 1890s;Beach scenes, Oregon Coast, 1890s;Crawford and Paxton",ASSET: 42687,2008.001.0544,StillImage,image/jpeg,Courtesy of State Library of Oregon,20080010544_2.jpg,slo20080010544_2,20563,State Library of Oregon,"Albany, Or.",Crawford and Paxton,
Unnamed Image,,1897-06-22T00:00:00Z,"Willamette music class, June 22, 1897.  Front l-r Nettie B. Reynolds, Helen Galbreath, 2nd row Florence T. Fredland, Jessie Albert, Alma Weller, Prof. Emil R. Winkler, Beatrice Shelton, ??rdie Wooden.  Back row: Lillian Metehan, unknown, Bertha Hubbard, Arthur Balscher,  Elizabeth Aschenbrenne, Anna Atwood, May Tilson, Bertha J. Darby.  Writing on back of photo is difficult to decipher, so spelling of some names may be incorrect.","Print, Photographic",ASSET: 43028,2008.001.0091,StillImage,image/jpeg,Courtesy of State Library of Oregon,20080010091_3.jpg,slo20080010091_3,43026,State Library of Oregon,,,
Lowell Wills,,ca. 1900,Lowell Wills,"Print, Photographic;Men's portraits, Salem, Or.;Wills, Lowell",ASSET: 43123,2008.001.0702,StillImage,image/jpeg,Courtesy of State Library of Oregon,20080010702.jpg,slo20080010702E10,20563,State Library of Oregon,"Salem, Or.",Trover,
